,team,apponent,result,score
0,Fulham,Arsenal,looser,0 - 3
1,Arsenal,Fulham,winner,3 - 0
2,Crystal Palace,Southampton,winner,1 - 0
3,Southampton,Crystal Palace,looser,0 - 1
4,Liverpool,Leeds,winner,4 - 3
5,Leeds,Liverpool,looser,3 - 4
6,West Ham,Newcastle,looser,0 - 2
7,Newcastle,West Ham,winner,2 - 0
8,West Brom,Leicester,looser,0 - 3
9,Leicester,West Brom,winner,3 - 0
10,Tottenham,Everton,looser,0 - 1
11,Everton,Tottenham,winner,1 - 0
12,Sheffield Utd,Wolves,looser,0 - 2
13,Wolves,Sheffield Utd,winner,2 - 0
14,Brighton,Chelsea,looser,1 - 3
15,Chelsea,Brighton,winner,3 - 1
