,team,apponent,result,score
0,Chelsea,Crystal Palace,winner,4 - 0
1,Crystal Palace,Chelsea,looser,0 - 4
2,Everton,Brighton,winner,4 - 2
3,Brighton,Everton,looser,2 - 4
4,Leeds,Manchester City,draw,1 - 1
5,Manchester City,Leeds,draw,1 - 1
6,Newcastle,Burnley,winner,3 - 1
7,Burnley,Newcastle,looser,1 - 3
8,Leicester,West Ham,looser,0 - 3
9,West Ham,Leicester,winner,3 - 0
10,Southampton,West Brom,winner,2 - 0
11,West Brom,Southampton,looser,0 - 2
12,Arsenal,Sheffield Utd,winner,2 - 1
13,Sheffield Utd,Arsenal,looser,1 - 2
14,Wolves,Fulham,winner,1 - 0
15,Fulham,Wolves,looser,0 - 1
16,Manchester United,Tottenham,looser,1 - 6
17,Tottenham,Manchester United,winner,6 - 1
18,Aston Villa,Liverpool,winner,7 - 2
19,Liverpool,Aston Villa,looser,2 - 7
